Segment,Bundle Products,Antecedents,Consequents,Support,Confidence,Lift
Regular Average Customers,POPPY'S PLAYHOUSE BEDROOM + POPPY'S PLAYHOUSE KITCHEN,POPPY'S PLAYHOUSE BEDROOM,POPPY'S PLAYHOUSE KITCHEN,0.0109,0.828,56.8236
Regular Average Customers,POPPY'S PLAYHOUSE KITCHEN + POPPY'S PLAYHOUSE BEDROOM,POPPY'S PLAYHOUSE KITCHEN,POPPY'S PLAYHOUSE BEDROOM,0.0109,0.7476,56.8236
Regular Average Customers,REGENCY SUGAR BOWL GREEN + REGENCY MILK JUG PINK,REGENCY SUGAR BOWL GREEN,REGENCY MILK JUG PINK,0.0102,0.7742,52.1217
Regular Average Customers,REGENCY MILK JUG PINK + REGENCY SUGAR BOWL GREEN,REGENCY MILK JUG PINK,REGENCY SUGAR BOWL GREEN,0.0102,0.6857,52.1217
Regular Average Customers,SET OF 3 WOODEN STOCKING DECORATION + SET OF 3 WOODEN TREE DECORATIONS,SET OF 3 WOODEN STOCKING DECORATION,SET OF 3 WOODEN TREE DECORATIONS,0.0108,0.6909,48.3568
New/Occasional Buyers,PINK HAPPY BIRTHDAY BUNTING + BLUE HAPPY BIRTHDAY BUNTING,PINK HAPPY BIRTHDAY BUNTING,BLUE HAPPY BIRTHDAY BUNTING,0.011,0.6842,55.8693
New/Occasional Buyers,BLUE HAPPY BIRTHDAY BUNTING + PINK HAPPY BIRTHDAY BUNTING,BLUE HAPPY BIRTHDAY BUNTING,PINK HAPPY BIRTHDAY BUNTING,0.011,0.8966,55.8693
New/Occasional Buyers,CHILDRENS CUTLERY SPACEBOY + CHILDRENS CUTLERY DOLLY GIRL,CHILDRENS CUTLERY SPACEBOY,CHILDRENS CUTLERY DOLLY GIRL,0.0106,0.6579,47.2089
New/Occasional Buyers,CHILDRENS CUTLERY DOLLY GIRL + CHILDRENS CUTLERY SPACEBOY,CHILDRENS CUTLERY DOLLY GIRL,CHILDRENS CUTLERY SPACEBOY,0.0106,0.7576,47.2089
New/Occasional Buyers,POPPY'S PLAYHOUSE KITCHEN + POPPY'S PLAYHOUSE BEDROOM,POPPY'S PLAYHOUSE KITCHEN,POPPY'S PLAYHOUSE BEDROOM,0.0118,0.6512,44.0558
At-Risk Customers,RED RETROSPOT CUP + RED RETROSPOT PLATE,RED RETROSPOT CUP,RED RETROSPOT PLATE,0.0115,0.8889,64.9825
At-Risk Customers,RED RETROSPOT PLATE + RED RETROSPOT CUP,RED RETROSPOT PLATE,RED RETROSPOT CUP,0.0115,0.8421,64.9825
At-Risk Customers,CHILDS GARDEN FORK BLUE + CHILDS GARDEN FORK PINK,CHILDS GARDEN FORK BLUE,CHILDS GARDEN FORK PINK,0.0101,0.7368,60.2043
At-Risk Customers,CHILDS GARDEN FORK PINK + CHILDS GARDEN FORK BLUE,CHILDS GARDEN FORK PINK,CHILDS GARDEN FORK BLUE,0.0101,0.8235,60.2043
At-Risk Customers,BLUE POLKADOT BOWL + PINK POLKADOT BOWL,BLUE POLKADOT BOWL,PINK POLKADOT BOWL,0.0108,0.75,57.875
